problem,seed,arm,FE,threshold,baselineShortMidpoints,currentShortMidpoints,novelSeparatedWitnesses,witnessesCoveredByP1
LIRCMOP6_BC,3,original,88000,0.02,3,0,0,0
LIRCMOP6_BC,3,original,89000,0.02,3,0,0,0
LIRCMOP6_BC,3,original,90000,0.02,3,0,0,0
LIRCMOP6_BC,3,original,91000,0.02,3,0,0,0
LIRCMOP6_BC,3,original,92000,0.02,3,0,0,0
LIRCMOP6_BC,3,original,93000,0.02,3,0,0,0
LIRCMOP6_BC,3,original,94000,0.02,3,0,0,0
LIRCMOP6_BC,3,original,95000,0.02,3,0,0,0
LIRCMOP6_BC,3,original,96000,0.02,3,0,0,0
LIRCMOP6_BC,3,original,97000,0.02,3,0,0,0
LIRCMOP6_BC,3,original,98000,0.02,3,0,0,0
LIRCMOP6_BC,3,original,99000,0.02,3,0,0,0
LIRCMOP6_BC,3,original,100000,0.02,3,0,0,0
LIRCMOP6_BC,3,original,50000,0.04,6,6,0,0
LIRCMOP6_BC,3,original,51000,0.04,6,9,0,0
LIRCMOP6_BC,3,original,52000,0.04,6,10,0,0
LIRCMOP6_BC,3,original,53000,0.04,6,8,0,0
LIRCMOP6_BC,3,original,54000,0.04,6,10,0,0
LIRCMOP6_BC,3,original,55000,0.04,6,11,0,0
LIRCMOP6_BC,3,original,56000,0.04,6,8,0,0
LIRCMOP6_BC,3,original,57000,0.04,6,13,0,0
LIRCMOP6_BC,3,original,58000,0.04,6,16,0,0
LIRCMOP6_BC,3,original,59000,0.04,6,22,1,1
LIRCMOP6_BC,3,original,60000,0.04,6,16,1,1
LIRCMOP6_BC,3,original,61000,0.04,6,20,2,2
LIRCMOP6_BC,3,original,62000,0.04,6,22,2,2
LIRCMOP6_BC,3,original,63000,0.04,6,9,3,3
LIRCMOP6_BC,3,original,64000,0.04,6,10,3,3
LIRCMOP6_BC,3,original,65000,0.04,6,7,3,3
LIRCMOP6_BC,3,original,66000,0.04,6,10,3,3
LIRCMOP6_BC,3,original,67000,0.04,6,10,2,2
LIRCMOP6_BC,3,original,68000,0.04,6,9,1,1
LIRCMOP6_BC,3,original,69000,0.04,6,0,0,0
LIRCMOP6_BC,3,original,70000,0.04,6,0,0,0
LIRCMOP6_BC,3,original,71000,0.04,6,10,1,1
LIRCMOP6_BC,3,original,72000,0.04,6,11,1,1
LIRCMOP6_BC,3,original,73000,0.04,6,14,1,1
LIRCMOP6_BC,3,original,74000,0.04,6,0,0,0
LIRCMOP6_BC,3,original,75000,0.04,6,0,0,0
LIRCMOP6_BC,3,original,76000,0.04,6,0,0,0
LIRCMOP6_BC,3,original,77000,0.04,6,0,0,0
LIRCMOP6_BC,3,original,78000,0.04,6,0,0,0
LIRCMOP6_BC,3,original,79000,0.04,6,0,0,0
LIRCMOP6_BC,3,original,80000,0.04,6,0,0,0
LIRCMOP6_BC,3,original,81000,0.04,6,0,0,0
LIRCMOP6_BC,3,original,82000,0.04,6,0,0,0
LIRCMOP6_BC,3,original,83000,0.04,6,0,0,0
LIRCMOP6_BC,3,original,84000,0.04,6,0,0,0
LIRCMOP6_BC,3,original,85000,0.04,6,0,0,0
LIRCMOP6_BC,3,original,86000,0.04,6,0,0,0
LIRCMOP6_BC,3,original,87000,0.04,6,0,0,0
LIRCMOP6_BC,3,original,88000,0.04,6,0,0,0
LIRCMOP6_BC,3,original,89000,0.04,6,0,0,0
LIRCMOP6_BC,3,original,90000,0.04,6,0,0,0
LIRCMOP6_BC,3,original,91000,0.04,6,0,0,0
LIRCMOP6_BC,3,original,92000,0.04,6,0,0,0
LIRCMOP6_BC,3,original,93000,0.04,6,3,0,0
LIRCMOP6_BC,3,original,94000,0.04,6,2,0,0
LIRCMOP6_BC,3,original,95000,0.04,6,2,0,0
LIRCMOP6_BC,3,original,96000,0.04,6,4,0,0
LIRCMOP6_BC,3,original,97000,0.04,6,4,0,0
LIRCMOP6_BC,3,original,98000,0.04,6,4,0,0
LIRCMOP6_BC,3,original,99000,0.04,6,4,0,0
LIRCMOP6_BC,3,original,100000,0.04,6,6,0,0
